Date,Rented Bike Count,Temperature(C)
01/12/2017,254,-5.2
01/12/2017,204,-5.5
01/12/2017,173,-6
01/12/2017,107,-6.2
01/12/2017,78,-6
01/12/2017,100,-6.4
01/12/2017,181,-6.6
01/12/2017,460,-7.4
01/12/2017,930,-7.6
01/12/2017,490,-6.5
01/12/2017,339,-3.5
01/12/2017,360,-0.5
01/12/2017,449,1.7
01/12/2017,451,2.4
01/12/2017,447,3
01/12/2017,463,2.1
01/12/2017,484,1.2
01/12/2017,555,0.8
01/12/2017,862,0.6
01/12/2017,600,0
01/12/2017,426,-0.3
01/12/2017,405,-0.8
01/12/2017,398,-0.9
01/12/2017,323,-1.3
02/12/2017,328,-1.8
02/12/2017,308,-2.2
02/12/2017,262,-2.9
02/12/2017,167,-3.5
02/12/2017,89,-3.8
02/12/2017,79,-4
02/12/2017,70,-4.3
02/12/2017,146,-4.4
02/12/2017,219,-4.2
02/12/2017,328,-2.9
02/12/2017,334,-0.4
02/12/2017,388,1.9
02/12/2017,479,4.3
02/12/2017,606,6
02/12/2017,611,7.3
02/12/2017,589,7.6
02/12/2017,618,6.4
02/12/2017,572,6
02/12/2017,489,5.5
02/12/2017,385,5
02/12/2017,359,4.6
02/12/2017,377,4.1
02/12/2017,354,3.5
02/12/2017,366,4
03/12/2017,342,4
03/12/2017,227,3.9
03/12/2017,228,3.3
03/12/2017,117,3.4
03/12/2017,76,3.5
03/12/2017,32,3.9
03/12/2017,13,3.4
03/12/2017,22,3.1
03/12/2017,85,3.2
03/12/2017,152,3.5
03/12/2017,200,4.4
03/12/2017,273,5.1
03/12/2017,333,5.8
03/12/2017,495,6.8
03/12/2017,563,7.6
03/12/2017,621,8
03/12/2017,598,7.6
03/12/2017,545,6.7
03/12/2017,443,6
03/12/2017,422,5.7
03/12/2017,397,5.2
03/12/2017,385,4.7
03/12/2017,350,4.3
03/12/2017,303,3.9
04/12/2017,285,4.2
04/12/2017,186,4.3
04/12/2017,112,4.4
04/12/2017,65,3.6
04/12/2017,41,2.8
04/12/2017,82,2
04/12/2017,200,1.2
04/12/2017,498,0.2
04/12/2017,937,-0.8
04/12/2017,509,-1.5
04/12/2017,311,-1.1
04/12/2017,379,-0.5
04/12/2017,393,-0.3
04/12/2017,391,0
04/12/2017,338,0.1
04/12/2017,341,-0.1
04/12/2017,375,-0.2
04/12/2017,515,-1.3
04/12/2017,807,-2.1
04/12/2017,568,-2.9
04/12/2017,398,-3.6
04/12/2017,397,-4.6
04/12/2017,353,-5.3
04/12/2017,248,-5.8
05/12/2017,216,-6.1
05/12/2017,198,-6.5
05/12/2017,124,-6.8
05/12/2017,62,-6.9
05/12/2017,42,-7.2
05/12/2017,82,-7.4
05/12/2017,172,-7.4
05/12/2017,381,-7.5
05/12/2017,812,-8.1
05/12/2017,462,-7.6
05/12/2017,269,-5.5
05/12/2017,334,-3.9
05/12/2017,321,-2.3
05/12/2017,325,-1.6
05/12/2017,334,-1.1
05/12/2017,353,-0.7
05/12/2017,435,-0.5
05/12/2017,529,-1.6
05/12/2017,789,-2.6
05/12/2017,597,-3.2
05/12/2017,418,-3.5
05/12/2017,415,-3.7
05/12/2017,393,-2.8
05/12/2017,244,-2.5
06/12/2017,145,-2.8
06/12/2017,144,-3
06/12/2017,117,-3
06/12/2017,78,-3.2
06/12/2017,58,-3.4
06/12/2017,87,-3.6
06/12/2017,142,-3.7
06/12/2017,379,-4.2
06/12/2017,802,-4.2
06/12/2017,440,-3.3
06/12/2017,307,-0.9
06/12/2017,381,1.6
06/12/2017,405,2.4
06/12/2017,442,4.2
06/12/2017,416,5.5
06/12/2017,412,5.5
06/12/2017,496,5.3
06/12/2017,239,4.1
06/12/2017,204,1.7
06/12/2017,205,1.2
06/12/2017,190,1.2
06/12/2017,165,1.1
06/12/2017,222,1.3
06/12/2017,193,1.3
07/12/2017,198,1.4
07/12/2017,218,1.5
07/12/2017,149,1.4
07/12/2017,102,1.9
07/12/2017,62,1.6
07/12/2017,83,1.5
07/12/2017,137,1
07/12/2017,367,0.3
07/12/2017,754,-0.2
07/12/2017,415,0.1
07/12/2017,321,1.1
07/12/2017,333,2.3
07/12/2017,431,3.7
07/12/2017,394,4.1
07/12/2017,390,4.4
07/12/2017,430,4
07/12/2017,471,3.2
07/12/2017,552,2.1
07/12/2017,795,0.7
07/12/2017,507,-0.4
07/12/2017,390,-1.4
07/12/2017,402,-2.2
07/12/2017,389,-2.7
07/12/2017,259,-3.2
08/12/2017,233,-3.5
